rank,name,country,profile_url,ytd_prize
1,Jannik Sinner,ITA,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview,2830697.0
2,Carlos Alcaraz,ESP,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview,3980081.0
3,Alexander Zverev,GER,https://www.atptour.com/en/players/alexander-zverev/z355/overview,2704891.0
4,Taylor Fritz,USA,https://www.atptour.com/en/players/taylor-fritz/fb98/overview,
5,Jack Draper,GBR,https://www.atptour.com/en/players/jack-draper/d0co/overview,2674635.0
6,Novak Djokovic,SRB,https://www.atptour.com/en/players/novak-djokovic/d643/overview,
7,Lorenzo Musetti,ITA,https://www.atptour.com/en/players/lorenzo-musetti/m0ej/overview,
8,Casper Ruud,NOR,https://www.atptour.com/en/players/casper-ruud/rh16/overview,
9,Alex de Minaur,AUS,https://www.atptour.com/en/players/alex-de-minaur/dh58/overview,
10,Holger Rune,DEN,https://www.atptour.com/en/players/holger-rune/r0dg/overview,
11,Daniil Medvedev,RUS,https://www.atptour.com/en/players/daniil-medvedev/mm58/overview,
12,Tommy Paul,USA,https://www.atptour.com/en/players/tommy-paul/pl56/overview,
13,Ben Shelton,USA,https://www.atptour.com/en/players/ben-shelton/s0s1/overview,
14,Arthur Fils,FRA,https://www.atptour.com/en/players/arthur-fils/f0f1/overview,
15,Andrey Rublev,RUS,https://www.atptour.com/en/players/andrey-rublev/re44/overview,
16,Frances Tiafoe,USA,https://www.atptour.com/en/players/frances-tiafoe/td51/overview,
17,Grigor Dimitrov,BUL,https://www.atptour.com/en/players/grigor-dimitrov/d875/overview,
18,Francisco Cerundolo,ARG,https://www.atptour.com/en/players/francisco-cerundolo/c0au/overview,
19,Jakub Mensik,CZE,https://www.atptour.com/en/players/jakub-mensik/m0ni/overview,
20,Stefanos Tsitsipas,GRE,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview,
21,Ugo Humbert,FRA,https://www.atptour.com/en/players/ugo-humbert/hh26/overview,
22,Tomas Machac,CZE,https://www.atptour.com/en/players/tomas-machac/m0fh/overview,
23,Sebastian Korda,USA,https://www.atptour.com/en/players/sebastian-korda/k0ah/overview,
24,Karen Khachanov,RUS,https://www.atptour.com/en/players/karen-khachanov/ke29/overview,
25,Alexei Popyrin,AUS,https://www.atptour.com/en/players/alexei-popyrin/p09z/overview,
26,Flavio Cobolli,ITA,https://www.atptour.com/en/players/flavio-cobolli/c0e9/overview,
27,Felix Auger-Aliassime,CAN,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview,
28,Hubert Hurkacz,POL,https://www.atptour.com/en/players/hubert-hurkacz/hb71/overview,
29,Alejandro Davidovich Fokina,ESP,https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview,
30,Matteo Berrettini,ITA,https://www.atptour.com/en/players/matteo-berrettini/bk40/overview,
31,Denis Shapovalov,CAN,https://www.atptour.com/en/players/denis-shapovalov/su55/overview,
32,Brandon Nakashima,USA,https://www.atptour.com/en/players/brandon-nakashima/n0ae/overview,
33,Alex Michelsen,USA,https://www.atptour.com/en/players/alex-michelsen/m0qi/overview,
34,Jiri Lehecka,CZE,https://www.atptour.com/en/players/jiri-lehecka/l0bv/overview,
35,Tallon Griekspoor,NED,https://www.atptour.com/en/players/tallon-griekspoor/gj37/overview,
36,Matteo Arnaldi,ITA,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/overview,
37,Giovanni Mpetshi Perricard,FRA,https://www.atptour.com/en/players/giovanni-mpetshi-perricard/m0gz/overview,
38,Sebastian Baez,ARG,https://www.atptour.com/en/players/sebastian-baez/b0bi/overview,
39,Alexandre Muller,FRA,https://www.atptour.com/en/players/alexandre-muller/mp20/overview,
40,Jordan Thompson,AUS,https://www.atptour.com/en/players/jordan-thompson/tc61/overview,
41,Nuno Borges,POR,https://www.atptour.com/en/players/nuno-borges/bt72/overview,
42,Gael Monfils,FRA,https://www.atptour.com/en/players/gael-monfils/mc65/overview,
43,Marcos Giron,USA,https://www.atptour.com/en/players/marcos-giron/gc88/overview,
44,Lorenzo Sonego,ITA,https://www.atptour.com/en/players/lorenzo-sonego/su87/overview,
45,Luciano Darderi,ITA,https://www.atptour.com/en/players/luciano-darderi/d0fj/overview,
46,Miomir Kecmanovic,SRB,https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview,
47,David Goffin,BEL,https://www.atptour.com/en/players/david-goffin/gb88/overview,
48,Pedro Martinez,ESP,https://www.atptour.com/en/players/pedro-martinez/mo44/overview,
49,Roberto Bautista Agut,ESP,https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview,
50,Zizou Bergs,BEL,https://www.atptour.com/en/players/zizou-bergs/bu13/overview,
51,Camilo Ugo Carabelli,ARG,https://www.atptour.com/en/players/camilo-ugo-carabelli/u182/overview,
52,Quentin Halys,FRA,https://www.atptour.com/en/players/quentin-halys/hb64/overview,
53,Tomas Martin Etcheverry,ARG,https://www.atptour.com/en/players/tomas-martin-etcheverry/ea24/overview,
54,Gabriel Diallo,CAN,https://www.atptour.com/en/players/gabriel-diallo/d0f6/overview,
55,Jacob Fearnley,GBR,https://www.atptour.com/en/players/jacob-fearnley/f0by/overview,
56,Fabian Marozsan,HUN,https://www.atptour.com/en/players/fabian-marozsan/m0ci/overview,
57,Jaume Munar,ESP,https://www.atptour.com/en/players/jaume-munar/mu94/overview,
58,Kei Nishikori,JPN,https://www.atptour.com/en/players/kei-nishikori/n552/overview,
59,Laslo Djere,SRB,https://www.atptour.com/en/players/laslo-djere/db63/overview,
60,Benjamin Bonzi,FRA,https://www.atptour.com/en/players/benjamin-bonzi/bm95/overview,
61,Alejandro Tabilo,CHI,https://www.atptour.com/en/players/alejandro-tabilo/te30/overview,
62,Alexander Bublik,KAZ,https://www.atptour.com/en/players/alexander-bublik/bk92/overview,
63,Roberto Carballes Baena,ESP,https://www.atptour.com/en/players/roberto-carballes-baena/cf59/overview,
64,Francisco Comesana,ARG,https://www.atptour.com/en/players/francisco-comesana/c0df/overview,
65,Joao Fonseca,BRA,https://www.atptour.com/en/players/joao-fonseca/f0fv/overview,
66,Daniel Altmaier,GER,https://www.atptour.com/en/players/daniel-altmaier/ae14/overview,
67,Learner Tien,USA,https://www.atptour.com/en/players/learner-tien/t0ha/overview,
68,Mattia Bellucci,ITA,https://www.atptour.com/en/players/mattia-bellucci/b0gg/overview,
69,Damir Dzumhur,BIH,https://www.atptour.com/en/players/damir-dzumhur/d923/overview,
70,Yunchaokete Bu,CHN,https://www.atptour.com/en/players/yunchaokete-bu/y09v/overview,
71,Juncheng Shang,CHN,https://www.atptour.com/en/players/juncheng-shang/s0re/overview,
72,Roman Safiullin,RUS,https://www.atptour.com/en/players/roman-safiullin/sx50/overview,
73,Corentin Moutet,FRA,https://www.atptour.com/en/players/corentin-moutet/mw02/overview,
74,Hamad Medjedovic,SRB,https://www.atptour.com/en/players/hamad-medjedovic/m0jf/overview,
75,Arthur Rinderknech,FRA,https://www.atptour.com/en/players/arthur-rinderknech/rc91/overview,
76,Aleksandar Kovacevic,USA,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/overview,
77,Yoshihito Nishioka,JPN,https://www.atptour.com/en/players/yoshihito-nishioka/n732/overview,
78,Rinky Hijikata,AUS,https://www.atptour.com/en/players/rinky-hijikata/h0bh/overview,
79,Zhizhen Zhang,CHN,https://www.atptour.com/en/players/zhizhen-zhang/z371/overview,
80,Aleksandar Vukic,AUS,https://www.atptour.com/en/players/aleksandar-vukic/v832/overview,
81,Cameron Norrie,GBR,https://www.atptour.com/en/players/cameron-norrie/n771/overview,
82,Christopher O'Connell,AUS,https://www.atptour.com/en/players/christopher-o'connell/o483/overview,
83,Hugo Gaston,FRA,https://www.atptour.com/en/players/hugo-gaston/g09o/overview,
84,Raphael Collignon,BEL,https://www.atptour.com/en/players/raphael-collignon/c0jp/overview,
85,Borna Coric,CRO,https://www.atptour.com/en/players/borna-coric/cg80/overview,
86,Vit Kopriva,CZE,https://www.atptour.com/en/players/vit-kopriva/ki82/overview,
87,Jan-Lennard Struff,GER,https://www.atptour.com/en/players/jan-lennard-struff/sl28/overview,
88,Jesper de Jong,NED,https://www.atptour.com/en/players/jesper-de-jong/d0c1/overview,
89,Botic van de Zandschulp,NED,https://www.atptour.com/en/players/botic-van-de-zandschulp/v812/overview,
90,Hugo Dellien,BOL,https://www.atptour.com/en/players/hugo-dellien/da31/overview,
91,Adam Walton,AUS,https://www.atptour.com/en/players/adam-walton/w09e/overview,
92,James Duckworth,AUS,https://www.atptour.com/en/players/james-duckworth/d994/overview,
93,Reilly Opelka,USA,https://www.atptour.com/en/players/reilly-opelka/o522/overview,
94,Chun-Hsin Tseng,TPE,https://www.atptour.com/en/players/chun-hsin-tseng/t0ap/overview,
95,Luca Nardi,ITA,https://www.atptour.com/en/players/luca-nardi/n0bg/overview,
96,Kamil Majchrzak,POL,https://www.atptour.com/en/players/kamil-majchrzak/mq75/overview,
97,Mariano Navone,ARG,https://www.atptour.com/en/players/mariano-navone/n0bs/overview,
98,Mackenzie McDonald,USA,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/overview,
99,Pablo Carreno Busta,ESP,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/overview,
100,Nishesh Basavareddy,USA,https://www.atptour.com/en/players/nishesh-basavareddy/b0nn/overview,
